strategy,qid,category,recall,rr,ndcg,retrieved
naive,Q01,single_hop,1.0,1.0,1.0,SEP-v3_0|SEP-v2_0|SEP-v1_0
naive,Q02,single_hop,1.0,1.0,1.0,SEP-v2_0|SEP-v1_0|SEP-v3_0|AMS-v2_0
naive,Q03,single_hop,1.0,0.25,0.43067655807339306,AMS-v2_0|AMS-v1_0|SEP-v3_0|AMS-v3_0|SEP-v2_0
naive,Q04,single_hop,1.0,0.5,0.6309297535714575,AKI-v1_0|AKI-v2_0|AMS-v1_0
naive,Q05,single_hop,1.0,1.0,1.0,HF-v1_0|HF-v2_0|MAT-v2_0|MAT-v1_0|AKI-v2_0
naive,Q06,single_hop,1.0,1.0,1.0,DIA-v1_0|DIA-v2_0|DIA-v3_0|AMS-v3_0|AMS-v2_0
naive,Q07,single_hop,1.0,1.0,1.0,STR-v1_0|STR-v2_0|ANTI-v1_0
naive,Q08,single_hop,1.0,1.0,1.0,ANTI-v1_0|ANTI-v2_0|STR-v2_0|STR-v1_0|VTE-v1_0
naive,Q09,single_hop,1.0,1.0,1.0,VTE-v1_0|VTE-v2_0|ANTI-v2_0
naive,Q10,single_hop,1.0,0.5,0.6309297535714575,MAT-v2_0|MAT-v1_0|DEL-v1_0|ANTI-v2_0
naive,Q11,single_hop,1.0,1.0,1.0,DEL-v1_0|STR-v1_0|AMS-v2_0|SEP-v2_0|MAT-v2_0
naive,Q12,single_hop,1.0,1.0,1.0,HF-v2_0|HF-v1_0
naive,Q13,single_hop,1.0,1.0,1.0,SEP-v2_0|SEP-v1_0|SEP-v3_0
naive,Q14,single_hop,1.0,1.0,1.0,ANTI-v1_0|ANTI-v2_0|STR-v1_0|VTE-v1_0|STR-v2_0
naive,Q15,single_hop,1.0,0.3333333333333333,0.5,AMS-v1_0|AMS-v3_0|AMS-v2_0
naive,Q16,single_hop,1.0,1.0,1.0,MAT-v1_0|SEP-v3_0|MAT-v2_0|SEP-v2_0
naive,Q17,single_hop,1.0,1.0,1.0,STR-v2_0|STR-v1_0|ANTI-v1_0|ANTI-v2_0
naive,Q18,single_hop,1.0,1.0,1.0,AKI-v2_0|AKI-v1_0
naive,Q19,single_hop,1.0,1.0,1.0,DIA-v1_0|DIA-v2_0|DIA-v3_0
naive,Q20,single_hop,1.0,1.0,1.0,MAT-v2_0|MAT-v1_0|HF-v1_0
naive,Q21,multi_hop,0.6666666666666666,0.3333333333333333,0.41618115554873086,AMS-v1_0|AKI-v1_0|AMS-v3_0|AMS-v2_0|AKI-v2_0
naive,Q22,multi_hop,1.0,1.0,0.9674679834891693,MAT-v2_0|AMS-v3_0|MAT-v1_0|SEP-v3_0|AMS-v1_0
naive,Q23,multi_hop,1.0,0.3333333333333333,0.5706417189553201,STR-v1_0|ANTI-v1_0|ANTI-v2_0|STR-v2_0
naive,Q24,multi_hop,0.6666666666666666,1.0,0.6713860725233041,HF-v2_0|HF-v1_0|SEP-v2_0|SEP-v3_0|SEP-v1_0
naive,Q25,multi_hop,1.0,0.5,0.6934264036172708,VTE-v1_0|VTE-v2_0|ANTI-v2_0|ANTI-v1_0
naive,Q26,multi_hop,0.5,0.3333333333333333,0.3065735963827292,DIA-v2_0|DIA-v1_0|DIA-v3_0|AKI-v1_0|AMS-v1_0
naive,Q27,multi_hop,0.6666666666666666,1.0,0.6713860725233041,DEL-v1_0|SEP-v3_0|AMS-v1_0|SEP-v2_0|MAT-v2_0
naive,Q28,multi_hop,1.0,1.0,0.9197207891481876,AKI-v2_0|AMS-v3_0|AMS-v2_0|AKI-v1_0|AMS-v1_0
naive,Q29,multi_hop,1.0,1.0,0.8772153153380493,ANTI-v2_0|VTE-v1_0|STR-v2_0|VTE-v2_0|ANTI-v1_0
naive,Q30,multi_hop,1.0,1.0,1.0,SEP-v3_0|MAT-v2_0|MAT-v1_0|SEP-v2_0
naive,Q31,multi_hop,1.0,0.5,0.6934264036172708,HF-v1_0|HF-v2_0|DIA-v2_0|DIA-v3_0
naive,Q32,multi_hop,0.5,0.2,0.23719771276929622,AKI-v1_0|HF-v2_0|HF-v1_0|SEP-v2_0|SEP-v3_0
naive,Q33,multi_hop,1.0,1.0,0.9197207891481876,SEP-v3_0|AMS-v1_0|AMS-v3_0|SEP-v2_0|AMS-v2_0
naive,Q34,multi_hop,0.6666666666666666,0.3333333333333333,0.4367467095119258,ANTI-v1_0|STR-v1_0|STR-v2_0|ANTI-v2_0
naive,Q35,multi_hop,1.0,0.3333333333333333,0.5706417189553201,AMS-v2_0|AMS-v3_0|AKI-v1_0|AMS-v1_0|AKI-v2_0
naive,Q36,temporal,1.0,1.0,0.8772153153380493,SEP-v2_0|SEP-v3_0|AMS-v2_0|SEP-v1_0|MAT-v2_0
naive,Q37,temporal,1.0,0.3333333333333333,0.5706417189553201,SEP-v2_0|HF-v2_0|SEP-v1_0|SEP-v3_0|AMS-v3_0
naive,Q38,temporal,1.0,1.0,1.0,DIA-v2_0|DIA-v3_0|DIA-v1_0
naive,Q39,temporal,1.0,1.0,1.0,HF-v2_0|HF-v1_0|DIA-v2_0
naive,Q40,temporal,1.0,1.0,1.0,STR-v2_0|STR-v1_0|ANTI-v1_0
naive,Q41,temporal,1.0,0.5,0.6934264036172708,AMS-v3_0|AMS-v2_0|AMS-v1_0
naive,Q42,temporal,1.0,1.0,1.0,AKI-v2_0|AKI-v1_0
naive,Q43,temporal,1.0,1.0,1.0,ANTI-v2_0|ANTI-v1_0|STR-v2_0|STR-v1_0
naive,Q44,temporal,1.0,1.0,1.0,VTE-v2_0|VTE-v1_0|ANTI-v2_0
naive,Q45,temporal,1.0,1.0,1.0,MAT-v2_0|MAT-v1_0
naive,Q46,temporal,1.0,1.0,1.0,AMS-v3_0|AMS-v2_0|AMS-v1_0
naive,Q47,temporal,1.0,1.0,1.0,DIA-v3_0|DIA-v2_0
hybrid,Q01,single_hop,1.0,1.0,1.0,SEP-v3_0|SEP-v2_0|SEP-v1_0
hybrid,Q02,single_hop,1.0,1.0,1.0,SEP-v2_0|SEP-v3_0|SEP-v1_0|AMS-v2_0
hybrid,Q03,single_hop,1.0,0.5,0.6309297535714575,AMS-v2_0|AMS-v3_0|AMS-v1_0|SEP-v1_0|SEP-v3_0
hybrid,Q04,single_hop,1.0,0.5,0.6309297535714575,AKI-v1_0|AKI-v2_0|AMS-v1_0
hybrid,Q05,single_hop,1.0,0.5,0.6309297535714575,HF-v2_0|HF-v1_0|AKI-v2_0|MAT-v2_0
hybrid,Q06,single_hop,1.0,1.0,1.0,DIA-v1_0|DIA-v2_0|DIA-v3_0|AMS-v1_0|AMS-v3_0
hybrid,Q07,single_hop,1.0,1.0,1.0,STR-v1_0|STR-v2_0|ANTI-v1_0
hybrid,Q08,single_hop,1.0,1.0,1.0,ANTI-v1_0|ANTI-v2_0|STR-v2_0|STR-v1_0|VTE-v1_0
hybrid,Q09,single_hop,1.0,1.0,1.0,VTE-v1_0|VTE-v2_0|ANTI-v2_0
hybrid,Q10,single_hop,1.0,1.0,1.0,MAT-v1_0|DEL-v1_0|ANTI-v2_0|MAT-v2_0
hybrid,Q11,single_hop,1.0,1.0,1.0,DEL-v1_0|STR-v1_0|SEP-v2_0|AMS-v2_0|MAT-v2_0
hybrid,Q12,single_hop,1.0,1.0,1.0,HF-v2_0|HF-v1_0
hybrid,Q13,single_hop,1.0,1.0,1.0,SEP-v2_0|SEP-v3_0|SEP-v1_0|AMS-v1_0
hybrid,Q14,single_hop,1.0,1.0,1.0,ANTI-v1_0|ANTI-v2_0|VTE-v1_0|STR-v1_0|STR-v2_0
hybrid,Q15,single_hop,1.0,1.0,1.0,AMS-v2_0|AMS-v1_0|AMS-v3_0
hybrid,Q16,single_hop,1.0,0.5,0.6309297535714575,SEP-v3_0|MAT-v1_0|SEP-v2_0|MAT-v2_0|VTE-v1_0
hybrid,Q17,single_hop,1.0,1.0,1.0,STR-v2_0|STR-v1_0|ANTI-v1_0|ANTI-v2_0
hybrid,Q18,single_hop,1.0,1.0,1.0,AKI-v2_0|AKI-v1_0
hybrid,Q19,single_hop,1.0,1.0,1.0,DIA-v1_0|DIA-v2_0|DIA-v3_0
hybrid,Q20,single_hop,1.0,0.5,0.6309297535714575,MAT-v1_0|MAT-v2_0|HF-v1_0
hybrid,Q21,multi_hop,0.3333333333333333,0.3333333333333333,0.23463936301137822,AMS-v1_0|AKI-v1_0|AMS-v3_0|AMS-v2_0|DIA-v1_0
hybrid,Q22,multi_hop,1.0,1.0,1.0,AMS-v3_0|SEP-v3_0|MAT-v2_0|AMS-v2_0|AMS-v1_0
hybrid,Q23,multi_hop,1.0,0.5,0.6509209298071326,ANTI-v1_0|STR-v2_0|STR-v1_0|ANTI-v2_0
hybrid,Q24,multi_hop,0.6666666666666666,0.5,0.49818925746641285,HF-v1_0|HF-v2_0|SEP-v2_0|SEP-v3_0|SEP-v1_0
hybrid,Q25,multi_hop,1.0,0.5,0.6934264036172708,VTE-v1_0|VTE-v2_0|ANTI-v2_0|ANTI-v1_0
hybrid,Q26,multi_hop,0.5,0.2,0.23719771276929622,AMS-v1_0|AKI-v1_0|DIA-v1_0|DIA-v2_0|AKI-v2_0
hybrid,Q27,multi_hop,1.0,1.0,0.8529278650606567,DEL-v1_0|SEP-v3_0|MAT-v2_0|AMS-v2_0|SEP-v2_0
hybrid,Q28,multi_hop,1.0,1.0,0.8772153153380493,AKI-v2_0|AMS-v3_0|AKI-v1_0|AMS-v2_0|AMS-v1_0
hybrid,Q29,multi_hop,1.0,0.5,0.6934264036172708,VTE-v1_0|ANTI-v2_0|VTE-v2_0|STR-v2_0|STR-v1_0
hybrid,Q30,multi_hop,1.0,1.0,0.9197207891481876,SEP-v3_0|SEP-v2_0|MAT-v2_0|MAT-v1_0
hybrid,Q31,multi_hop,1.0,0.5,0.6934264036172708,HF-v1_0|HF-v2_0|DIA-v2_0|DIA-v3_0
hybrid,Q32,multi_hop,0.5,0.3333333333333333,0.3065735963827292,HF-v1_0|AKI-v1_0|AKI-v2_0|HF-v2_0|SEP-v2_0
hybrid,Q33,multi_hop,1.0,1.0,0.9197207891481876,SEP-v3_0|AMS-v1_0|AMS-v3_0|AMS-v2_0|SEP-v2_0
hybrid,Q34,multi_hop,0.6666666666666666,0.5,0.5307212739772434,ANTI-v1_0|ANTI-v2_0|STR-v2_0|STR-v1_0
hybrid,Q35,multi_hop,1.0,1.0,1.0,AKI-v1_0|AMS-v1_0|AKI-v2_0|VTE-v2_0|AMS-v3_0
hybrid,Q36,temporal,1.0,1.0,0.9197207891481876,SEP-v2_0|SEP-v3_0|SEP-v1_0|MAT-v2_0|AMS-v2_0
hybrid,Q37,temporal,1.0,0.5,0.6934264036172708,SEP-v2_0|SEP-v1_0|SEP-v3_0|HF-v2_0|HF-v1_0
hybrid,Q38,temporal,1.0,1.0,1.0,DIA-v2_0|DIA-v3_0|DIA-v1_0
hybrid,Q39,temporal,1.0,1.0,1.0,HF-v2_0|HF-v1_0
hybrid,Q40,temporal,1.0,1.0,1.0,STR-v1_0|STR-v2_0|ANTI-v1_0
hybrid,Q41,temporal,1.0,1.0,1.0,AMS-v2_0|AMS-v1_0|AMS-v3_0
hybrid,Q42,temporal,1.0,1.0,1.0,AKI-v2_0|AKI-v1_0
hybrid,Q43,temporal,1.0,1.0,1.0,ANTI-v2_0|ANTI-v1_0|STR-v2_0|STR-v1_0
hybrid,Q44,temporal,1.0,1.0,1.0,VTE-v2_0|VTE-v1_0|ANTI-v2_0
hybrid,Q45,temporal,1.0,1.0,1.0,MAT-v2_0|MAT-v1_0
hybrid,Q46,temporal,1.0,1.0,1.0,AMS-v3_0|AMS-v2_0|AMS-v1_0
hybrid,Q47,temporal,1.0,1.0,1.0,DIA-v3_0|DIA-v2_0
reranked,Q01,single_hop,1.0,0.3333333333333333,0.5,SEP-v1_0|SEP-v2_0|SEP-v3_0
reranked,Q02,single_hop,1.0,1.0,1.0,SEP-v2_0|SEP-v3_0|SEP-v1_0|AMS-v2_0|HF-v2_0
reranked,Q03,single_hop,1.0,0.5,0.6309297535714575,AMS-v2_0|AMS-v3_0|AMS-v1_0|SEP-v1_0|SEP-v3_0
reranked,Q04,single_hop,1.0,0.5,0.6309297535714575,AKI-v1_0|AKI-v2_0|AMS-v1_0|SEP-v3_0|VTE-v2_0
reranked,Q05,single_hop,1.0,1.0,1.0,HF-v1_0|HF-v2_0|ANTI-v2_0|AMS-v2_0|AKI-v2_0
reranked,Q06,single_hop,1.0,1.0,1.0,DIA-v1_0|DIA-v2_0|DIA-v3_0|AKI-v1_0|AMS-v1_0
reranked,Q07,single_hop,1.0,1.0,1.0,STR-v1_0|ANTI-v1_0|STR-v2_0|SEP-v3_0
reranked,Q08,single_hop,1.0,1.0,1.0,ANTI-v1_0|STR-v2_0|ANTI-v2_0|STR-v1_0|VTE-v1_0
reranked,Q09,single_hop,1.0,1.0,1.0,VTE-v1_0|VTE-v2_0|SEP-v1_0|SEP-v2_0
reranked,Q10,single_hop,1.0,1.0,1.0,MAT-v1_0|MAT-v2_0|SEP-v3_0|ANTI-v1_0|SEP-v2_0
reranked,Q11,single_hop,1.0,1.0,1.0,DEL-v1_0|AMS-v2_0|DIA-v2_0|SEP-v2_0|SEP-v1_0
reranked,Q12,single_hop,1.0,1.0,1.0,HF-v2_0|HF-v1_0|ANTI-v2_0|DIA-v2_0|DIA-v1_0
reranked,Q13,single_hop,1.0,1.0,1.0,SEP-v2_0|SEP-v1_0|DIA-v1_0|MAT-v2_0|HF-v2_0
reranked,Q14,single_hop,1.0,1.0,1.0,ANTI-v1_0|VTE-v1_0|ANTI-v2_0|STR-v1_0|STR-v2_0
reranked,Q15,single_hop,1.0,0.3333333333333333,0.5,AMS-v1_0|AMS-v3_0|AMS-v2_0|SEP-v2_0|SEP-v3_0
reranked,Q16,single_hop,1.0,0.5,0.6309297535714575,SEP-v3_0|MAT-v1_0|SEP-v2_0|MAT-v2_0|AMS-v3_0
reranked,Q17,single_hop,1.0,1.0,1.0,STR-v2_0|STR-v1_0|ANTI-v1_0|ANTI-v2_0|VTE-v1_0
reranked,Q18,single_hop,1.0,1.0,1.0,AKI-v2_0|AKI-v1_0|DIA-v2_0|SEP-v3_0|SEP-v2_0
reranked,Q19,single_hop,1.0,1.0,1.0,DIA-v1_0|DIA-v2_0|DIA-v3_0
reranked,Q20,single_hop,1.0,0.5,0.6309297535714575,MAT-v1_0|MAT-v2_0|ANTI-v2_0|VTE-v2_0|DIA-v3_0
reranked,Q21,multi_hop,0.0,0.0,0.0,AMS-v1_0|AKI-v1_0|SEP-v1_0|AMS-v2_0|SEP-v2_0
reranked,Q22,multi_hop,1.0,1.0,0.9469024295259745,AMS-v3_0|MAT-v2_0|MAT-v1_0|AMS-v2_0|SEP-v3_0
reranked,Q23,multi_hop,1.0,0.3333333333333333,0.5706417189553201,ANTI-v1_0|STR-v1_0|ANTI-v2_0|STR-v2_0
reranked,Q24,multi_hop,0.6666666666666666,0.5,0.4776237035032179,HF-v1_0|HF-v2_0|SEP-v2_0|SEP-v1_0|SEP-v3_0
reranked,Q25,multi_hop,1.0,0.5,0.6934264036172708,VTE-v1_0|VTE-v2_0|ANTI-v2_0|ANTI-v1_0|STR-v2_0
reranked,Q26,multi_hop,0.5,1.0,0.6131471927654584,DIA-v3_0|DIA-v2_0|DIA-v1_0|AKI-v1_0|VTE-v2_0
reranked,Q27,multi_hop,0.6666666666666666,1.0,0.6508205185601091,DEL-v1_0|SEP-v3_0|AMS-v1_0|SEP-v1_0|SEP-v2_0
reranked,Q28,multi_hop,1.0,1.0,1.0,AKI-v2_0|AMS-v2_0|AMS-v3_0|AKI-v1_0|AMS-v1_0
reranked,Q29,multi_hop,1.0,1.0,0.8772153153380493,ANTI-v2_0|VTE-v1_0|STR-v2_0|VTE-v2_0|ANTI-v1_0
reranked,Q30,multi_hop,1.0,1.0,1.0,MAT-v2_0|SEP-v3_0|MAT-v1_0|AMS-v3_0|SEP-v2_0
reranked,Q31,multi_hop,1.0,1.0,0.8772153153380493,HF-v2_0|SEP-v2_0|HF-v1_0|DIA-v2_0|DIA-v3_0
reranked,Q32,multi_hop,0.5,0.2,0.23719771276929622,AKI-v1_0|HF-v2_0|HF-v1_0|SEP-v2_0|SEP-v3_0
reranked,Q33,multi_hop,1.0,0.5,0.6934264036172708,AMS-v1_0|SEP-v3_0|AMS-v3_0|AMS-v2_0|SEP-v1_0
reranked,Q34,multi_hop,0.6666666666666666,0.3333333333333333,0.4367467095119258,ANTI-v1_0|VTE-v1_0|ANTI-v2_0|VTE-v2_0|STR-v1_0
reranked,Q35,multi_hop,1.0,1.0,0.8772153153380493,AKI-v1_0|AMS-v2_0|DEL-v1_0|AMS-v1_0|SEP-v3_0
reranked,Q36,temporal,0.5,1.0,0.6131471927654584,SEP-v2_0|SEP-v3_0|AMS-v2_0|MAT-v2_0|AMS-v3_0
reranked,Q37,temporal,0.5,0.5,0.38685280723454163,SEP-v2_0|SEP-v1_0|AMS-v2_0|AMS-v3_0|MAT-v2_0
reranked,Q38,temporal,1.0,1.0,1.0,DIA-v2_0|DIA-v3_0|DIA-v1_0
reranked,Q39,temporal,1.0,1.0,0.8772153153380493,HF-v1_0|DIA-v2_0|ANTI-v2_0|HF-v2_0|AMS-v2_0
reranked,Q40,temporal,1.0,1.0,0.9197207891481876,STR-v2_0|MAT-v2_0|STR-v1_0|HF-v2_0|AKI-v2_0
reranked,Q41,temporal,1.0,1.0,0.8772153153380493,AMS-v1_0|AMS-v3_0|SEP-v2_0|AMS-v2_0|SEP-v3_0
reranked,Q42,temporal,1.0,1.0,0.9197207891481876,AKI-v2_0|STR-v2_0|AKI-v1_0|STR-v1_0
reranked,Q43,temporal,1.0,1.0,1.0,ANTI-v2_0|ANTI-v1_0|STR-v2_0|STR-v1_0
reranked,Q44,temporal,1.0,1.0,0.8503449055347546,VTE-v2_0|DIA-v2_0|DIA-v3_0|AMS-v3_0|VTE-v1_0
reranked,Q45,temporal,1.0,1.0,1.0,MAT-v2_0|MAT-v1_0|SEP-v3_0|DIA-v2_0|HF-v2_0
reranked,Q46,temporal,1.0,1.0,1.0,AMS-v3_0|MAT-v2_0|AMS-v2_0|AMS-v1_0|SEP-v3_0
reranked,Q47,temporal,1.0,1.0,1.0,DIA-v2_0|DIA-v3_0|VTE-v2_0|VTE-v1_0|DIA-v1_0
